"Label","OTUs","Genus","Morphology","MajorCategory","MorphoFunctionalGroup"
"pararb","Parazoanthus_arborescent","Parazoanthus","arborescent","Other Sessile Invertebrates","Zoanthid_arborescent"
"parbus","Paraminabea_bushy","Paraminabea","bushy","Gorgonian","Gorgonian_bushy"
"parmas","Paraminabea_massive","Paraminabea","massive","Gorgonian","Gorgonian_massive"
"pavcol","Pavona_columnar","Pavona","columnar","Scleractinian","Hard coral_columnar"
"pavenc","Pavona_encrusting","Pavona","encrusting","Scleractinian","Hard coral_encrusting"
"pavfol","Pavona_foliose","Pavona","foliose","Scleractinian","Hard coral_foliose"
"pavmas","Pavona_massive","Pavona","massive","Scleractinian","Hard coral_massive"
"pecenc","Pectinia_encrusting","Pectinia","encrusting","Scleractinian","Hard coral_encrusting"
"pescca","Peyssonnelia_cca","Peyssonnelia","cca","Crustose Coralline Algae","CCA"
"phsenc","Physophyllia_encrusting","Physophyllia","encrusting","Scleractinian","Hard coral_encrusting"
"phyenc","Phymanthus_encrusting","Phymanthus","encrusting","Other Sessile Invertebrates","Actiniaria_encrusting"
"pinarb","Pinnigorgia_arborescent","Pinnigorgia","arborescent","Gorgonian","Gorgonian_arborescent"
"plaenc","Platygyra_encrusting","Platygyra","encrusting","Scleractinian","Hard coral_encrusting"
"plamas","Platygyra_massive","Platygyra","massive","Scleractinian","Hard coral_massive"
"pleenc","Plesiastrea_encrusting","Plesiastrea","encrusting","Scleractinian","Hard coral_encrusting"
"plemas","Pleuractis_massive","Pleuractis","massive","Scleractinian","Hard coral_massive"
"pocbus","Pocillopora_bushy","Pocillopora","bushy","Scleractinian","Hard coral_bushy"
"poctab","Pocillopora_tabular","Pocillopora","tabular","Scleractinian","Hard coral_tabular"
"podenc","Podabacia_encrusting","Podabacia","encrusting","Scleractinian","Hard coral_encrusting"
"podfol","Podabacia_foliose","Podabacia","foliose","Scleractinian","Hard coral_foliose"
"polmas","Polyphyllia_massive","Polyphyllia","massive","Scleractinian","Hard coral_massive"
"porcom","Portieria_corticated_macrophyte","Portieria","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"potcol","Porites_columnar","Porites","columnar","Scleractinian","Hard coral_columnar"
"potenc","Porites/Montipora_encrusting","Porites/Montipora","encrusting","Scleractinian","Hard coral_encrusting"
"potfol","Porites_foliose","Porites","foliose","Scleractinian","Hard coral_foliose"
"potmas","Porites_massive","Porites","massive","Scleractinian","Hard coral_massive"
"psabus","Psammocora_bushy","Psammocora","bushy","Scleractinian","Hard coral_bushy"
"psacol","Psammocora_spp/Coscinaraea_exesa_columnar","Psammocora","spp/Coscinaraea_exesa_columnar","Scleractinian","Hard coral_columnar"
"psaenc","Psammocora_encrusting","Psammocora","encrusting","Scleractinian","Hard coral_encrusting"
"psamas","Psammocora_massive","Psammocora","massive","Scleractinian","Hard coral_massive"
"redart","Red_algae_articulated_calcareous","red.algae","algae_articulated_calcareous","Macroalgae","Macroalgae_articulated_calcareous"
"redcof","Red_algae_corticated_foliose","red.algae","algae_corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"redcom","Red_algae_corticated_macrophyte","red.algae","algae_corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"redfil","Red_filamentous_algae","red.algae","filamentous_algae","Turf Algae","Turf_Turf"
"redcof1","Red_algae_corticated_foliose","red.algae","algae_corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"rhocom","Rhodopeltis_corticated_macrophyte","Rhodopeltis","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"rhyenc","Rhytisma_encrusting","Rhytisma","encrusting","Octocoral","Soft coral_encrusting"
"rockss","rock_stable_substrate","rock","stable_substrate","Stable Substrate","Stable substrate"
"rubbus","rubble_unstable_substrate","rubble","unstable_substrate","Unstable Substrate","Unstable substrate"
"rumarb","Rumphella_arborescent","Rumphella","arborescent","Gorgonian","Gorgonian_arborescent"
"rumbus","Rumphella_bushy","Rumphella","bushy","Gorgonian","Gorgonian_bushy"
"saboth","Sabellastarte_other_life","Sabellastarte","other_life","Other Sessile Invertebrates","Other sessile invertebrates"
"sandus","sand_unstable_substrate","sand","unstable_substrate","Unstable Substrate","Unstable substrate"
"sarlem","Sargassum_leathery_macrophyte","Sargassum","leathery_macrophyte","Macroalgae","Macroalgae_leathery_macrophyte"
"sarlob","Sarcophyton_lobate","Sarcophyton","lobate","Octocoral","Soft coral_lobate"
"sarmas","Sarcophyton_massive","Sarcophyton","massive","Octocoral","Soft coral_massive"
"scacol","Scapophyllia_columnar","Scapophyllia","columnar","Scleractinian","Hard coral_columnar"
